open_time,close_time,symbol,interval,open,high,low,close,volume,num_trades
2024-12-05 08:00:00+00:00,2024-12-05 11:59:59.999000+00:00,HYPE,4h,13.207,14.638,13.08,13.514,2053208.44,12644
2024-12-05 12:00:00+00:00,2024-12-05 15:59:59.999000+00:00,HYPE,4h,13.538,13.732,12.3,12.825,1545740.86,15165
2024-12-05 16:00:00+00:00,2024-12-05 19:59:59.999000+00:00,HYPE,4h,12.81,13.155,12.0,12.101,1129645.44,14265
2024-12-05 20:00:00+00:00,2024-12-05 23:59:59.999000+00:00,HYPE,4h,12.114,13.0,11.3,12.724,2380229.39,22148
2024-12-06 00:00:00+00:00,2024-12-06 03:59:59.999000+00:00,HYPE,4h,12.7,13.725,11.5,13.369,2145238.96,21992
2024-12-06 04:00:00+00:00,2024-12-06 07:59:59.999000+00:00,HYPE,4h,13.369,13.577,12.694,13.08,796426.51,32466
2024-12-06 08:00:00+00:00,2024-12-06 11:59:59.999000+00:00,HYPE,4h,13.097,13.4,12.424,12.67,722376.48,20928
2024-12-06 12:00:00+00:00,2024-12-06 15:59:59.999000+00:00,HYPE,4h,12.683,13.831,12.335,13.831,1287635.72,19088
2024-12-06 16:00:00+00:00,2024-12-06 19:59:59.999000+00:00,HYPE,4h,13.826,14.462,13.368,13.892,1520322.98,18307
2024-12-06 20:00:00+00:00,2024-12-06 23:59:59.999000+00:00,HYPE,4h,13.88,14.386,13.27,13.848,1045230.93,16091
2024-12-07 00:00:00+00:00,2024-12-07 03:59:59.999000+00:00,HYPE,4h,13.848,15.054,13.55,14.902,902905.04,13087
2024-12-07 04:00:00+00:00,2024-12-07 07:59:59.999000+00:00,HYPE,4h,14.905,15.314,14.263,14.573,1310721.88,18864
2024-12-07 08:00:00+00:00,2024-12-07 11:59:59.999000+00:00,HYPE,4h,14.548,15.0,14.177,14.334,712340.09,16162
2024-12-07 12:00:00+00:00,2024-12-07 15:59:59.999000+00:00,HYPE,4h,14.331,15.05,14.296,14.522,996159.4,15155
2024-12-07 16:00:00+00:00,2024-12-07 19:59:59.999000+00:00,HYPE,4h,14.533,14.913,13.835,14.722,1328470.62,17132
2024-12-07 20:00:00+00:00,2024-12-07 23:59:59.999000+00:00,HYPE,4h,14.716,14.886,14.2,14.246,864666.7,15050
2024-12-08 00:00:00+00:00,2024-12-08 03:59:59.999000+00:00,HYPE,4h,14.23,14.451,13.564,14.191,1206472.44,20405
2024-12-08 04:00:00+00:00,2024-12-08 07:59:59.999000+00:00,HYPE,4h,14.169,14.198,13.53,13.912,573688.2,11542
2024-12-08 08:00:00+00:00,2024-12-08 11:59:59.999000+00:00,HYPE,4h,13.912,14.036,13.516,13.941,528661.36,10814
2024-12-08 12:00:00+00:00,2024-12-08 15:59:59.999000+00:00,HYPE,4h,13.96,14.67,13.915,14.489,687275.17,13762
2024-12-08 16:00:00+00:00,2024-12-08 19:59:59.999000+00:00,HYPE,4h,14.489,14.702,13.882,13.915,713063.26,14865
2024-12-08 20:00:00+00:00,2024-12-08 23:59:59.999000+00:00,HYPE,4h,13.895,14.411,13.79,14.051,532480.16,13771
2024-12-09 00:00:00+00:00,2024-12-09 03:59:59.999000+00:00,HYPE,4h,14.056,14.463,13.52,13.664,872402.56,15311
2024-12-09 04:00:00+00:00,2024-12-09 07:59:59.999000+00:00,HYPE,4h,13.666,13.967,12.534,13.514,2579418.19,30667
2024-12-09 08:00:00+00:00,2024-12-09 11:59:59.999000+00:00,HYPE,4h,13.514,13.74,12.419,12.507,1604853.14,24276
2024-12-09 12:00:00+00:00,2024-12-09 15:59:59.999000+00:00,HYPE,4h,12.507,13.547,12.3,12.616,1948232.79,26415
2024-12-09 16:00:00+00:00,2024-12-09 19:59:59.999000+00:00,HYPE,4h,12.64,13.432,12.4,12.73,1158292.27,19224
2024-12-09 20:00:00+00:00,2024-12-09 23:59:59.999000+00:00,HYPE,4h,12.73,13.84,12.064,13.598,3803019.18,40858
2024-12-10 00:00:00+00:00,2024-12-10 03:59:59.999000+00:00,HYPE,4h,13.567,13.77,12.702,13.085,1018418.3,20468
2024-12-10 04:00:00+00:00,2024-12-10 07:59:59.999000+00:00,HYPE,4h,13.08,13.9,12.68,13.706,855563.82,17119
2024-12-10 08:00:00+00:00,2024-12-10 11:59:59.999000+00:00,HYPE,4h,13.71,14.5,13.602,14.33,764562.03,13829
2024-12-10 12:00:00+00:00,2024-12-10 15:59:59.999000+00:00,HYPE,4h,14.333,14.443,13.035,13.036,1535956.79,21889
2024-12-10 16:00:00+00:00,2024-12-10 19:59:59.999000+00:00,HYPE,4h,13.036,13.732,12.627,13.231,2140996.1,26543
2024-12-10 20:00:00+00:00,2024-12-10 23:59:59.999000+00:00,HYPE,4h,13.231,14.0,13.0,13.573,1010762.38,19854
2024-12-11 00:00:00+00:00,2024-12-11 03:59:59.999000+00:00,HYPE,4h,13.56,13.914,13.06,13.786,771192.97,16893
